Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
662,50,male,2,own,little,,2241,21,furniture/equipment,Good
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,Bad
664,50,female,1,own,little,rich,1047,6,education,Good
665,27,male,3,own,little,,6314,24,vacation/others,Good
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,Bad
667,27,female,2,own,little,,3609,48,business,Bad
668,43,male,2,rent,little,little,4843,12,car,Good
669,47,male,2,own,little,rich,3017,30,radio/TV,Good
670,27,male,1,own,moderate,,4139,24,business,Good
671,31,male,2,own,moderate,,5742,36,business,Bad
672,42,male,3,own,little,,10366,60,car,Bad
673,24,male,2,own,quite rich,,2080,6,car,Bad
674,41,male,1,own,quite rich,,2580,21,business,Bad
675,26,female,3,rent,little,,4530,30,radio/TV,Good
676,33,male,2,own,little,,5150,24,furniture/equipment,Bad
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,Bad
678,64,male,1,rent,little,little,2384,24,radio/TV,Bad
679,26,female,2,own,little,,1453,18,radio/TV,Bad
680,56,female,2,own,little,,1538,6,education,Bad
681,37,male,2,free,,,2279,12,radio/TV,Good
682,33,male,2,own,little,,1478,15,radio/TV,Good
683,47,male,2,free,little,,5103,24,radio/TV,Bad
684,31,male,1,own,moderate,moderate,9857,36,business,Good
685,34,male,2,free,,,6527,60,car,Bad
686,27,male,2,own,,rich,1347,10,radio/TV,Bad
687,30,male,2,free,moderate,moderate,2862,36,car,Good
688,35,male,2,own,moderate,,2753,9,radio/TV,Good
689,31,male,2,own,rich,little,3651,12,car,Bad
690,25,male,2,own,little,little,975,15,furniture/equipment,Bad
691,25,female,1,own,moderate,moderate,2631,15,repairs,Bad
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,Good
693,44,male,1,own,,little,4716,6,car,Bad
694,28,male,2,own,little,,2284,24,radio/TV,Bad
695,50,male,2,rent,quite rich,,1236,6,car,Bad
696,29,male,2,own,little,moderate,1103,12,radio/TV,Good
697,38,female,0,own,little,,926,12,car,Bad
698,24,male,2,own,little,,1800,18,radio/TV,Bad
699,40,male,3,rent,little,rich,1905,15,education,Good
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,Bad
701,46,male,2,free,little,little,6331,48,car,Bad
702,47,female,2,free,moderate,rich,1377,24,radio/TV,Good
703,41,male,2,own,moderate,moderate,2503,30,business,Bad
704,32,female,2,own,little,moderate,2528,27,business,Good
705,35,female,2,free,quite rich,,5324,15,car,Good
706,24,male,2,own,moderate,moderate,6560,48,car,Bad
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,Bad
708,25,female,2,own,little,moderate,1206,9,radio/TV,Bad
709,37,male,1,own,little,moderate,2118,9,radio/TV,Bad
710,32,male,3,own,quite rich,,629,18,radio/TV,Good
711,35,female,2,free,little,little,1198,6,education,Bad
712,46,male,3,own,,,2476,21,car,Good
713,25,male,1,own,little,little,1138,9,radio/TV,Bad
714,27,male,3,own,little,moderate,14027,60,car,Bad
715,63,male,2,own,,,7596,30,car,Bad
716,40,male,2,own,,,3077,30,radio/TV,Good
717,32,male,3,free,little,,1505,18,radio/TV,Bad
718,31,male,2,own,,rich,3148,24,radio/TV,Bad
719,31,male,2,own,moderate,moderate,6148,20,car,Bad
720,34,male,3,own,little,rich,1337,9,radio/TV,Bad
721,24,female,2,rent,rich,moderate,433,6,education,Good
722,24,female,1,own,little,little,1228,12,car,Bad
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,Good
724,21,female,2,rent,little,,2570,27,car,Good
725,41,female,1,own,rich,,250,6,car,Good
726,47,male,1,own,quite rich,,1316,15,radio/TV,Good
727,25,female,2,rent,little,little,1882,18,radio/TV,Good
728,59,female,2,rent,little,moderate,6416,48,business,Good
729,36,male,2,own,rich,rich,1275,24,business,Bad
730,33,male,2,own,little,moderate,6403,24,radio/TV,Good
731,21,male,1,rent,little,little,1987,24,radio/TV,Good
732,44,female,1,own,little,moderate,760,8,radio/TV,Good
733,28,female,2,rent,rich,,2603,24,car,Bad
734,37,female,2,own,little,,3380,4,car,Bad
735,29,female,0,own,,moderate,3990,36,domestic appliances,Good
736,23,female,3,rent,little,moderate,11560,24,car,Bad
737,35,male,1,own,moderate,little,4380,18,car,Good
738,45,male,3,own,little,,6761,6,car,Good
739,26,female,1,rent,moderate,moderate,4280,30,business,Bad
740,32,male,2,own,moderate,little,2325,24,car,Good
741,23,male,1,own,little,moderate,1048,10,radio/TV,Bad
742,41,male,2,own,,,3160,21,radio/TV,Bad
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,Good
744,30,male,3,own,,little,14179,39,furniture/equipment,Good
745,28,male,1,own,little,little,1797,13,business,Bad
746,23,female,2,rent,little,little,2511,15,car,Good
747,37,female,1,own,little,little,1274,12,car,Good
748,26,male,2,own,,,5248,21,car,Good
749,33,male,2,own,little,,3029,15,car,Bad
750,49,female,2,own,little,little,428,6,furniture/equipment,Bad
751,23,female,1,own,little,little,976,18,car,Good
752,23,female,1,rent,moderate,moderate,841,12,business,Bad
753,25,female,2,own,little,,5771,30,radio/TV,Bad
754,55,male,2,free,rich,,1555,12,repairs,Bad
755,32,female,2,rent,,little,1285,24,car,Bad
756,74,male,0,own,little,rich,1299,6,car,Bad
757,39,male,2,free,,rich,1271,15,radio/TV,Good
758,31,male,2,own,little,,1393,24,car,Good
759,35,male,2,own,little,little,691,12,car,Good
760,59,female,2,own,,,5045,15,car,Bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,Bad
762,24,male,1,own,little,little,2214,12,radio/TV,Good
763,30,male,3,free,,,12680,21,car,Bad
764,27,male,2,own,moderate,,2463,24,car,Good
765,40,male,1,own,little,moderate,1155,12,radio/TV,Good
766,31,male,1,own,little,little,3108,30,furniture/equipment,Good
767,31,female,2,rent,,,2901,10,car,Bad
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,Bad
769,63,male,1,own,little,,1655,12,radio/TV,Good
770,26,female,2,rent,,little,2812,24,car,Good
771,25,female,3,own,little,little,8065,36,education,Good
772,36,male,3,own,little,,3275,21,car,Good
773,52,male,2,own,moderate,,2223,24,radio/TV,Bad
774,66,male,0,free,quite rich,rich,1480,12,car,Bad
775,25,female,2,rent,,little,1371,24,car,Good
776,37,male,2,own,little,,3535,36,car,Good
777,25,female,2,own,little,little,3509,18,radio/TV,Bad
778,38,male,3,own,rich,,5711,36,car,Bad
779,67,female,2,own,little,moderate,3872,18,repairs,Good
780,25,male,2,own,little,moderate,4933,39,radio/TV,Good
781,60,male,2,own,rich,,1940,24,car,Good
782,31,male,1,own,little,moderate,1410,12,education,Bad
783,23,female,1,own,moderate,moderate,836,12,car,Bad
784,60,male,3,own,,moderate,6468,20,car,Bad
785,35,male,1,own,rich,moderate,1941,18,business,Good
786,40,male,2,own,quite rich,,2675,22,radio/TV,Good
787,38,male,2,own,,,2751,48,car,Bad
788,50,male,2,free,little,moderate,6224,48,education,Bad
789,27,male,2,own,little,little,5998,40,education,Good
790,39,female,2,own,little,moderate,1188,21,business,Bad
791,41,male,3,own,,,6313,24,car,Bad
792,27,male,2,own,,,1221,6,furniture/equipment,Good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,Bad
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,Good
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,Good
796,51,male,2,free,,little,7511,18,car,Good
797,22,female,1,rent,little,,1258,12,furniture/equipment,Good
798,54,male,2,own,,,717,24,car,Good
799,35,male,0,own,,moderate,1549,9,car,Good
800,54,male,2,free,little,,1597,24,education,Good
801,48,female,1,rent,little,moderate,1795,18,radio/TV,Bad
802,24,female,2,own,little,little,4272,20,furniture/equipment,Good
803,35,male,2,own,,,976,12,radio/TV,Good
804,24,female,0,rent,,moderate,7472,12,car,Bad
805,24,male,2,own,little,little,9271,36,car,Bad
806,26,male,1,own,little,moderate,590,6,radio/TV,Bad
807,65,male,2,own,,,930,12,radio/TV,Good
808,55,male,3,free,little,moderate,9283,42,car,Bad
809,26,female,0,rent,little,moderate,1778,15,car,Good
810,26,male,2,own,little,moderate,907,8,business,Good
811,28,male,1,own,little,moderate,484,6,radio/TV,Good
812,24,male,2,own,little,little,9629,36,car,Good
813,54,male,2,own,little,little,3051,48,domestic appliances,Bad
814,46,male,2,free,little,little,3931,48,car,Bad
815,54,female,2,rent,little,moderate,7432,36,car,Good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,Good
817,24,female,2,rent,little,,1554,6,radio/TV,Good
818,43,male,3,own,little,little,15857,36,vacation/others,Bad
819,26,male,2,own,little,little,1345,18,radio/TV,Good
820,27,male,2,own,little,,1101,12,car,Good
821,24,male,2,own,little,rich,3016,12,radio/TV,Bad
822,41,male,2,own,little,little,2712,36,furniture/equipment,Bad
823,47,male,1,own,little,little,731,8,car,Good
824,35,male,3,own,little,,3780,18,furniture/equipment,Bad
825,30,male,2,own,little,little,1602,21,car,Bad
826,33,female,2,rent,little,little,3966,18,car,Good
827,36,male,2,own,little,,4165,18,business,Bad
828,47,male,2,free,,little,8335,36,car,Good
829,38,male,2,free,,moderate,6681,48,business,Bad
830,44,male,2,own,quite rich,,2375,24,business,Good
831,23,female,2,rent,little,little,1216,18,car,Good
832,29,male,2,rent,little,little,11816,45,business,Good
833,42,female,2,own,,moderate,5084,24,radio/TV,Bad
834,25,female,1,own,little,rich,2327,15,radio/TV,Good
835,48,male,2,own,little,little,1082,12,car,Bad
836,21,female,2,own,,,886,12,radio/TV,Good
837,23,female,1,rent,little,,601,4,furniture/equipment,Good
838,63,male,2,own,little,little,2957,24,car,Bad
839,46,male,2,own,little,,2611,24,radio/TV,Good
840,29,male,2,own,little,little,5179,36,furniture/equipment,Good
841,28,male,1,own,little,,2993,21,car,Bad
842,23,female,2,own,little,,1943,18,repairs,Good
843,50,male,2,own,little,,1559,24,business,Good
844,47,male,2,own,little,,3422,18,furniture/equipment,Good
845,35,male,2,own,,moderate,3976,21,furniture/equipment,Good
846,68,male,2,rent,,,6761,18,car,Bad
847,28,male,2,own,little,,1249,24,car,Bad
848,59,male,2,own,little,little,1364,9,radio/TV,Good
849,57,male,1,own,little,little,709,12,radio/TV,Bad
850,33,male,2,rent,little,little,2235,20,car,Good
851,43,male,2,own,,,4042,24,car,Bad
852,35,male,2,free,little,,1471,15,radio/TV,Good
853,32,male,1,free,little,little,1442,18,car,Good
854,45,male,2,own,little,,10875,36,car,Good
855,33,male,2,own,moderate,,1474,24,car,Good
856,40,female,2,own,,,894,10,education,Good
857,28,male,2,free,little,,3343,15,furniture/equipment,Good
858,29,female,2,own,little,little,3959,15,car,Bad
859,26,male,2,rent,moderate,,3577,9,car,Good
860,27,male,2,own,rich,,5804,24,car,Bad
861,28,male,2,own,little,,2169,18,business,Good
862,35,female,2,own,little,little,2439,24,radio/TV,Bad
863,32,male,1,own,rich,,4526,27,furniture/equipment,Bad
864,25,male,1,rent,little,,2210,10,furniture/equipment,Bad
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,Good
866,27,female,2,own,little,little,2389,18,radio/TV,Good
867,42,male,2,own,little,,3331,12,furniture/equipment,Bad
868,37,male,2,own,,,7409,36,business,Good
869,24,female,2,rent,little,little,652,12,furniture/equipment,Bad
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,Good
871,46,male,2,own,little,rich,1343,6,car,Bad
872,26,male,2,own,moderate,little,1382,24,business,Bad
873,24,female,2,own,,,874,15,domestic appliances,Good
874,29,male,1,own,little,little,3590,12,furniture/equipment,Bad
875,40,female,2,own,rich,moderate,1322,11,car,Good
876,36,male,3,free,little,little,1940,18,radio/TV,Bad
877,28,male,2,own,little,,3595,36,radio/TV,Bad
878,27,male,3,free,little,little,1422,9,car,Good
879,36,male,2,own,,,6742,30,radio/TV,Good
880,38,male,3,own,little,,7814,24,car,Good
881,48,male,2,free,,,9277,24,car,Bad
882,36,male,2,own,,moderate,2181,30,car,Good
883,65,female,0,own,little,,1098,18,radio/TV,Bad
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,Bad
885,53,female,2,own,little,little,795,12,education,Good
886,34,male,2,own,,moderate,2825,24,business,Good
887,23,male,2,own,little,moderate,15672,48,business,Bad
888,34,male,3,own,little,,6614,36,car,Bad
889,40,male,2,rent,,,7824,28,car,Good
890,43,male,3,own,little,little,2442,27,business,Good
891,46,male,2,own,little,,1829,15,radio/TV,Good
892,38,male,1,own,little,little,2171,12,car,Good
893,34,male,2,own,little,moderate,5800,36,car,Good
894,29,male,2,own,,,1169,18,radio/TV,Bad
895,31,male,3,own,,,8947,36,car,Bad
896,28,female,3,rent,little,little,2606,21,radio/TV,Bad
897,35,female,2,own,rich,,1592,12,furniture/equipment,Bad
898,33,female,1,rent,,,2186,15,furniture/equipment,Good
899,42,male,2,own,little,little,4153,18,furniture/equipment,Good
900,43,male,2,rent,little,little,2625,16,car,Good
901,44,male,2,own,,,3485,20,car,Bad
902,42,male,2,free,,,10477,36,car,Bad
903,40,male,2,rent,,,1386,15,radio/TV,Good
904,36,male,3,own,little,,1278,24,radio/TV,Good
905,20,male,3,rent,little,little,1107,12,radio/TV,Bad
906,24,male,1,own,,little,3763,21,car,Bad
907,27,male,2,own,,moderate,3711,36,education,Good
908,46,female,1,own,little,,3594,15,car,Good
909,33,female,1,own,,moderate,3195,9,car,Bad
910,34,female,2,own,little,,4454,36,radio/TV,Good
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,Good
912,25,female,2,own,,moderate,2991,30,radio/TV,Good
913,28,male,2,own,rich,,2142,11,business,Bad
914,31,male,2,rent,little,little,3161,24,business,Bad
915,32,female,3,own,little,moderate,18424,48,vacation/others,Bad
916,32,male,2,own,moderate,,2848,10,car,Bad
917,68,male,3,own,little,little,14896,6,car,Bad
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,Bad
919,39,male,3,rent,little,little,3345,24,furniture/equipment,Bad
920,28,female,2,own,little,,1817,18,furniture/equipment,Good
921,37,male,3,own,quite rich,,12749,48,radio/TV,Good
922,22,female,2,rent,little,little,1366,9,radio/TV,Good
923,30,male,2,rent,little,moderate,2002,12,car,Good
924,55,male,2,own,little,little,6872,24,furniture/equipment,Good
925,46,male,2,own,little,little,697,12,car,Good
926,21,female,2,rent,little,little,1049,18,furniture/equipment,Good
927,39,male,2,free,little,little,10297,48,car,Bad
928,58,male,2,own,,,1867,30,radio/TV,Bad
929,43,male,1,own,little,little,1344,12,car,Good
930,24,male,1,own,little,little,1747,24,furniture/equipment,Good
931,22,female,2,own,little,moderate,1670,9,radio/TV,Bad
932,30,male,2,own,little,,1224,9,car,Good
933,42,male,2,own,quite rich,,522,12,radio/TV,Good
934,23,female,2,own,little,little,1498,12,radio/TV,Bad
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,Good
936,28,female,1,own,little,rich,745,9,radio/TV,Bad
937,30,male,3,rent,little,moderate,2063,6,radio/TV,Good
938,42,male,2,free,little,moderate,6288,60,education,Bad
939,46,male,3,own,,,6842,24,car,Bad
940,45,male,3,own,,,3527,12,car,Bad
941,31,male,1,own,little,,1546,10,car,Good
942,31,male,2,own,,,929,24,furniture/equipment,Bad
943,42,male,1,own,little,,1455,4,car,Good
944,46,female,2,rent,little,little,1845,15,furniture/equipment,Good
945,30,female,2,own,quite rich,moderate,8358,48,car,Good
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,Good
947,38,male,3,own,,,2859,12,car,Bad
948,43,male,1,own,little,,1533,18,furniture/equipment,Bad
949,31,male,2,own,moderate,,3621,24,radio/TV,Good
950,40,male,0,own,little,moderate,3590,18,business,Good
951,24,male,2,own,little,little,2145,36,business,Bad
952,28,female,2,rent,quite rich,moderate,4113,24,car,Good
953,26,female,3,own,little,,10974,36,furniture/equipment,Bad
954,29,female,2,own,little,little,1893,12,car,Good
955,57,female,3,rent,rich,little,1231,24,radio/TV,Good
956,49,male,1,own,,rich,3656,30,radio/TV,Bad
957,37,male,1,own,little,moderate,1154,9,radio/TV,Good
958,45,male,1,own,little,little,4006,28,car,Bad
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,Good
960,30,male,2,rent,little,,1740,6,radio/TV,Good
961,47,male,2,own,little,moderate,2353,21,car,Good
962,29,male,2,own,,,3556,15,car,Bad
963,35,male,2,own,quite rich,,2397,24,radio/TV,Good
964,22,male,1,own,little,moderate,454,6,repairs,Good
965,26,female,2,own,,moderate,1715,30,radio/TV,Good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,Good
967,54,female,3,rent,little,,3568,15,radio/TV,Bad
968,29,male,2,rent,,,7166,42,radio/TV,Bad
969,40,male,1,own,little,little,3939,11,car,Good
970,22,male,2,own,moderate,moderate,1514,15,repairs,Bad
971,43,male,1,own,little,,7393,24,car,Good
972,29,female,0,rent,little,little,1193,24,car,Good
973,36,male,2,rent,little,little,7297,60,business,Good
974,33,female,2,own,little,,2831,30,radio/TV,Bad
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,Bad
976,64,female,2,own,little,moderate,753,6,radio/TV,Bad
977,42,male,2,own,,moderate,2427,18,business,Bad
978,47,male,1,own,little,,2538,24,car,Bad
979,25,male,2,rent,moderate,moderate,1264,15,car,Bad
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,Bad
981,33,male,3,rent,little,,4844,48,business,Bad
982,28,female,3,own,moderate,rich,2923,21,car,Bad
983,26,male,2,own,little,little,8229,36,car,Good
984,30,male,1,own,little,,2028,24,furniture/equipment,Bad
985,25,female,2,rent,little,little,1433,15,furniture/equipment,Bad
986,33,male,2,own,little,rich,6289,42,business,Bad
987,64,female,2,own,moderate,,1409,13,radio/TV,Bad
988,29,male,3,free,little,little,6579,24,car,Bad
989,48,male,1,own,little,moderate,1743,24,radio/TV,Bad
990,37,male,1,own,,,3565,12,education,Bad
991,34,male,1,own,moderate,,1569,15,radio/TV,Bad
992,23,male,1,rent,,little,1936,18,radio/TV,Bad
993,30,male,3,own,little,little,3959,36,furniture/equipment,Bad
994,50,male,2,own,,,2390,12,car,Bad
995,31,female,1,own,little,,1736,12,furniture/equipment,Good
996,40,male,3,own,little,little,3857,30,car,Good
997,38,male,2,own,little,,804,12,radio/TV,Bad
998,23,male,2,free,little,little,1845,45,radio/TV,Bad
999,27,male,2,own,moderate,moderate,4576,45,car,Good
